Time (s),Entropy
132.62,0.9341
132.64,0.9341
132.66,0.971
132.68,0.7219
132.69,1.1884
132.71,1.1412
132.72,1.2192
132.72,1.0763
132.73,1.1884
132.73,1.1884
132.73,0.971
132.74,1.8388
132.74,1.2192
132.74,1.2568
132.75,0.8842
132.75,0.7219
132.77,0.8476
132.77,0.9918
132.78,1.0763
132.79,0.9341
132.8,1.361
132.82,1.469
132.83,1.5955
132.83,0.9341
132.86,1.4367
132.87,1.6955
132.88,1.6784
132.9,1.2192
132.92,1.2345
132.93,1.2192
132.95,1.461
132.97,1.3955
132.99,1.2192
133.01,1.9219
133.03,1.1884
133.03,1.6955
133.04,1.2345
133.05,1.4367
133.06,1.2345
133.07,1.1884
133.09,1.4367
133.1,1.0763
133.11,1.9219
133.14,1.461
133.15,1.461
133.17,1.6784
133.18,1.2192
133.19,1.2192
133.2,1.3955
133.21,1.461
133.22,1.0763
133.23,1.6784
133.24,1.361
133.25,1.6784
133.26,1.3955
133.27,1.2192
133.29,1.461
133.31,1.4367
133.33,1.6955
133.34,1.4367
133.35,1.6955
133.36,1.461
133.37,1.461
133.38,1.0763
133.39,0.9341
133.39,1.1884
133.42,1.1884
133.44,1.5955
133.45,1.2192
133.46,1.6784
133.47,1.6955
133.48,1.469
133.49,1.0763
133.51,0.9341
133.52,0.8813
133.54,0.9341
133.56,0.9341
133.58,0.971
133.61,0.8813
133.62,1.0
133.63,1.0
133.63,0.8813
133.66,0.9341
133.68,1.4367
133.69,1.5438
133.7,1.361
133.73,1.461
133.74,1.469
133.75,1.6955
133.76,1.4367
133.78,1.3362
133.8,0.8813
133.81,1.2192
133.83,1.5784
133.84,0.8842
133.87,1.469
133.88,1.2192
133.94,1.4367
133.96,1.5166
133.97,1.5166
133.98,1.5905
133.99,1.5166
134.0,1.3362
134.01,1.461
134.03,1.2345
134.03,1.3955
134.04,1.0763
134.06,1.6784
134.08,0.9341
134.09,1.3362
134.1,1.6438
134.13,1.0763
134.13,1.2345
134.14,1.8388
134.16,0.9341
134.18,1.5905
134.19,1.461
134.2,1.2192
134.21,1.8855
