Time (s),Entropy
140.89,1.5727
140.93,1.6131
140.97,1.4193
141.01,1.4101
141.04,1.6529
141.08,1.3097
141.12,1.5441
141.17,1.6735
141.23,1.7059
141.28,1.5924
141.33,1.3725
141.39,1.6243
141.44,1.5286
141.46,1.4774
141.51,1.3220
141.55,0.9994
141.58,0.9994
141.63,0.9518
141.7,1.3346
141.72,1.5911
141.77,1.3219
141.82,1.5639
141.86,1.5924
141.93,1.3575
141.98,1.6549
142.04,1.5924
142.08,1.5001
142.12,1.6960
142.16,1.5554
142.2,1.5924
142.24,1.4904
142.29,1.4380
142.31,1.4352
142.38,1.5286
142.43,1.6102
142.47,1.6017
142.52,1.5166
142.59,1.1375
142.64,0.9135
142.7,1.1954
142.75,1.1818
142.79,1.5260
142.82,1.4638
142.87,1.1053
142.91,1.2811
142.98,1.6126
143.02,1.5846
143.07,1.6197
143.09,1.4579
143.13,1.2933
143.18,1.5060
143.21,1.4297
143.26,1.3439
143.3,1.4011
143.34,1.5554
143.36,1.3328
143.4,1.3504
143.44,1.4949
143.5,1.4242
143.54,1.5232
143.6,1.3899
143.68,0.9449
143.74,1.1466
143.78,1.5060
143.84,1.5417
143.89,1.5475
143.96,1.4617
144.0,1.5520
144.05,1.6389
144.08,1.6341
144.13,1.4357
144.16,1.5554
144.2,1.4387
144.21,1.6131
144.23,1.3179
144.26,1.2468
144.29,1.5254
144.33,1.3622
144.39,1.6388
144.45,1.5911
144.49,1.5452
144.52,1.3815
144.59,1.0900
144.64,0.8631
144.69,1.2168
144.74,1.1267
144.81,1.3289
144.88,1.3097
144.91,1.2154
144.97,1.2504
145.03,1.5060
145.09,1.3631
145.14,1.4591
145.19,1.5190
145.24,1.4876
145.28,1.4293
145.32,1.5554
145.35,1.6102
145.37,1.4369
145.41,1.1308
145.44,1.5269
145.53,1.4172
145.58,1.5050
145.62,1.3514
145.69,1.3346
145.72,1.7120
145.76,1.4101
145.81,1.4242
145.86,1.5326
145.9,1.3423
145.95,1.4342
145.98,1.4497
146.03,1.3706
146.05,1.4331
146.1,1.4638
146.13,1.5190
146.17,1.4764
146.19,1.4949
146.22,1.4387
146.24,1.3659
146.29,1.5267
146.32,1.6219
146.34,1.2961
146.37,1.3097
146.4,1.4172
146.43,1.5554
146.47,1.2756
146.51,1.6421
146.55,1.3126
146.68,1.8689
146.72,1.4607
146.8,1.5994
146.84,1.5452
146.9,1.5137
146.94,1.5531
147.02,1.5001
147.07,1.6119
147.13,1.3504
147.18,1.5885
147.2,1.6781
147.23,1.1308
147.29,1.5599
147.32,1.5235
147.36,1.3622
147.42,1.6937
147.48,1.5190
147.53,1.7084
147.56,1.5846
147.63,1.2168
147.68,1.1720
147.71,1.3137
147.75,1.4949
147.77,1.2240
147.83,1.5326
147.89,1.5131
147.95,1.5840
148.0,1.6210
148.02,1.5885
148.06,1.2354
148.09,1.3659
148.14,1.5054
148.18,1.5362
148.23,1.6388
148.27,1.4607
148.32,1.4796
148.38,1.4071
148.43,1.4845
148.46,1.5267
148.51,1.1287
148.55,0.8224
148.59,0.9947
148.62,0.9852
148.64,1.0000
148.7,1.0816
148.74,1.3220
148.84,1.4297
148.88,1.1052
148.91,1.2765
148.96,0.9519
149.02,1.4617
149.05,1.6305
149.1,1.4084
149.14,1.4011
